choose_one_category,agreement,rnd_agreement,id,po,pe,k
caution_and_advice,47.0,5.0,61,0.7704918032786885,0.08196721311475409,0.75
displaced_people_and_evacuations,6.0,1.0,12,0.5,0.08333333333333333,0.4545454545454546
donation_needs_or_offers_or_volunteering_services,156.0,25.0,234,0.6666666666666666,0.10683760683760683,0.6267942583732057
infrastructure_and_utilities_damage,100.0,11.0,157,0.6369426751592356,0.07006369426751592,0.6095890410958904
injured_or_dead_people,433.0,74.0,624,0.6939102564102564,0.11858974358974358,0.6527272727272727
missing_trapped_or_found_people,23.0,8.0,30,0.7666666666666667,0.26666666666666666,0.6818181818181818
not_related_or_irrelevant,1281.0,207.0,1846,0.6939328277356447,0.11213434452871072,0.6552776082977426
other_useful_information,521.0,75.0,753,0.6918990703851262,0.099601593625498,0.6578171091445428
sympathy_and_emotional_support,301.0,45.0,451,0.6674057649667405,0.09977827050997783,0.6305418719211823
