model,set,lang,p,r,f1
LR,test,es,85.18459407543362,85.60346070656092,85.32234132144761
LR,test,en,93.11585129874564,93.32544121515744,93.18198343077837
CNN,test,es,85.56719745403593,86.16294160057679,85.62554545921247
CNN,test,en,94.01027459538098,94.28965217490763,94.02891173891754
LSTM,test,es,94.01785714285714,93.98311772981505,93.99994278848905
LSTM,test,en,94.01785714285714,93.98311772981505,93.99994278848905
LR,test,esen,78.68943998345105,78.77368815739507,78.44735085667729
LR,test,enes,56.39149274849664,50.5312682904867,33.17290561932153
CNN,test,esen,79.77619293356409,79.37389782006574,79.49036034957926
CNN,test,enes,51.46353309089186,50.11352161412942,32.55203294728987
LSTM,test,esen,75.70836910896529,75.32678678247773,74.65386584741425
LSTM,test,enes,55.107615265939955,50.1855579925005,31.74607965444619
LSTM-glove,test,enes,55.107615265939955,50.1855579925005,31.74607965444619
LSTM-stacked,test,es,81.4929836668967,81.1703096539162,79.72965393460093
LSTM-stacked,test,en,91.0558017956586,91.35187728937728,91.04429816758584
LSTM-stacked,test,esen,85.90188376458633,85.72789904445862,85.79755552387319
LSTM-stacked,test,enes,78.54317384651436,78.53038858607152,77.49518080833478
